WKT,OBJECTID,LAENGE,RANG_SUB,SE_ANNO_CAD_DATA
"LINESTRING (16.2947833415267 48.2310843554716,16.2943246124133 48.2314217541602,16.2931689436122 48.2321351701839,16.2922444275252 48.232655733134,16.2915221227269 48.2330799018742,16.2911174615155 48.2335041908375,16.2907396499046 48.2344917191974)",1963760,671.42,,
"LINESTRING (16.3148813477271 48.1767779838291,16.3164906565472 48.1788294752982,16.3179850519983 48.1809578456896,16.3190580985589 48.182265652838,16.3192492572243 48.1839066442685,16.3200939637874 48.1856073460395,16.3202411819677 48.1855858887917)",1963761,1078.43,G,
"LINESTRING (16.3784751531296 48.2194647022024,16.378857761425 48.2202263927666)",1963762,89.34,G,
"LINESTRING (16.3242015844622 48.1376791104269,16.3241060330387 48.1377940253408,16.3221051333043 48.1379600483261,16.3206973883705 48.1378813444019,16.3200894992445 48.1378527073223,16.318425923001 48.1375609990843,16.3180846694391 48.137503838346,16.3173443792694 48.1374081952362,16.3169762351147 48.1374435331114)",1963763,553.15,E,
"LINESTRING (16.368368824058 48.2287000281563,16.3710025922581 48.2299127057344)",1963764,237.64,G,
"LINESTRING (16.3709683813078 48.2299890232874,16.3712420608436 48.2293708518333,16.3717396346311 48.2295046046628,16.3718350404305 48.2294947005571)",1963765,118.7,G,
"LINESTRING (16.4840625086684 48.2332455647954,16.4817856308001 48.2278961805777)",1963766,618.41,E,
"LINESTRING (16.4086338024528 48.2764866852099,16.406851359829 48.2770566689255,16.4051981813144 48.2773497466077)",1963767,273.66,E,
"LINESTRING (16.5192556075194 48.2310430451711,16.5192589353462 48.231051459294,16.5209843005943 48.2354625806033)",1963768,507.94,G,
"LINESTRING (16.3416223676539 48.2388998360598,16.3432511493898 48.2386791855858)",1963769,123.45,E,
"LINESTRING (16.2770541577351 48.1968143839447,16.277884630501 48.1961853169488,16.2782707706533 48.1959481632584,16.2788728580879 48.1958349502406,16.280803873607 48.1956121161019)",1963770,324.46,G,
"LINESTRING (16.3570903082451 48.1713406758921,16.358799142733 48.1743860808796)",1963771,361.7,E,
"LINESTRING (16.5187558100122 48.2297792519673,16.5192556075194 48.2310430451711)",1963772,145.35,E,
"LINESTRING (16.3308258948773 48.160287458972,16.3330867877904 48.1595840990305,16.3349123732947 48.1588515713346)",1963773,343.86,E,
"LINESTRING (16.3235444508755 48.144296617117,16.3236287521083 48.1439827099648,16.3264908470391 48.1439234985167,16.3284996389762 48.143899854978,16.3291759259616 48.1439122988019)",1963774,448.42,E,
"LINESTRING (16.3109806265722 48.1330864898146,16.3103348629297 48.1332388979644,16.3102653988319 48.1332588070905,16.3098327221697 48.1323815804799,16.3045961262829 48.1335152805728,16.3043041718513 48.1329049958046,16.2981418061489 48.1329794872777)",1963775,1098.99,E,
"LINESTRING (16.3167777653753 48.1371060610647,16.3166386171162 48.1353668195423,16.3149300970846 48.1321327882069)",1963776,575.1,E,
"LINESTRING (16.4105326399481 48.2799682882609,16.4098702310724 48.2787123002733,16.4086675579892 48.2765727271172,16.4086394453597 48.2765128749938)",1963777,409.15,E,
"LINESTRING (16.310808271378 48.1957830937759,16.3109572930294 48.1967111172493)",1963778,103.78,E,
"LINESTRING (16.3109662430013 48.1967041179729,16.3112165196301 48.1982145290919,16.3111710801079 48.1990770109585)",1963779,264.94,E,
"LINESTRING (16.3129421832145 48.2019235564004,16.3131884253793 48.2031837235668)",1963780,141.31,E,
"LINESTRING (16.3131884253793 48.2031837235668,16.3134094858503 48.2043149751505)",1963781,126.86,E,
"LINESTRING (16.3171920669193 48.2065246347733,16.3141925387044 48.2069941637532)",1963782,228.98,E,
"LINESTRING (16.3141925387044 48.2069941637532,16.3129250514413 48.2071822950146)",1963783,96.5,E,
"LINESTRING (16.3129250514413 48.2071822950146,16.3103708721153 48.2075704327124)",1963784,194.69,E,
"LINESTRING (16.3103708721153 48.2075704327124,16.3090825414744 48.2077661854416,16.3049647233523 48.2084122914285)",1963785,412.58,E,
"LINESTRING (16.2750522364906 48.2032333140591,16.2749077105852 48.2032052727399,16.2697831845977 48.202333925475,16.2668558041647 48.2019406425063,16.2663966557045 48.2018468173283,16.2661779961676 48.2016883730432,16.2660383764681 48.2014580172126,16.2658516892738 48.2011180624978,16.2655158435178 48.2007848049285)",1963786,798.44,E,
"LINESTRING (16.2544391110563 48.1989737026394,16.2546761827411 48.199221487907)",1963787,32.71,G,
"LINESTRING (16.2546761827411 48.199221487907,16.2551004912574 48.1996649644889,16.2551215454572 48.1997937003926)",1963788,72.94,G,
"LINESTRING (16.2570438348617 48.2019445339096,16.2584849271595 48.2018366576773,16.2599479010321 48.2018376364494,16.2610146562818 48.2018383384032,16.2640033986722 48.2011592713776,16.2641943377409 48.2010893517209)",1963789,546.67,G,
"LINESTRING (16.2815645139728 48.1955197188806,16.2830651791346 48.1952792271643,16.2842984139363 48.1949479221277,16.2863430089457 48.1945344549981,16.287671749832 48.1947235454158,16.2900603520738 48.1946370250322,16.291874069779 48.1942538619451,16.2959410747629 48.1943549235026,16.2994905595378 48.1938717587594,16.2995438620335 48.1938621367783)",1963790,1368.56,E,
"LINESTRING (16.27437079304 48.1937274583185,16.2744466893684 48.1940011337836,16.2745536069891 48.1942880521678,16.2760133574324 48.1957790327882)",1963791,261.98,E,
"LINESTRING (16.2811536248776 48.1927591479838,16.2809444009046 48.1919954537426)",1963792,86.33,G,
"LINESTRING (16.2809444009046 48.1919954537426,16.2808505838135 48.1916471721806,16.2800516462992 48.1900287470268)",1963793,228.86,G,
"LINESTRING (16.276667711231 48.1725916771117,16.2760203091895 48.1729696407562,16.2751927262373 48.174079580415,16.2740701560453 48.1757113011592,16.2728731919354 48.1770264973142,16.2729407652144 48.1775864347452)",1963794,635.22,G,
